дата,компания,количество,цена покупки,цена продажи,комиссия,дивидеды
22.06.2021,NEM,10,63.45,,1.9,
22.06.2021,TWOU,15,,41,1.85,
22.06.2021,NVTA,4,,33.5,0.4,
21.06.2021,ENDP,8,5.22,,0.13,
21.06.2021,MU,9,77.15,,2.08,
21.06.2021,ENDP,50,5.21,,0.78,
17.06.2021,J&J,,,,,2.23
17.06.2021,NVTA,5,,32.15,0.48,
17.06.2021,TWOU,15,,40.44,1.82,
11.06.2021,TWOU,30,39.07,,3.52,
11.06.2021,NVTA,22,,31.7,2.1,
26.05.2021,NVTA,31,29.24,,2.72,
26.05.2021,J&J,5,169.8,,2.55,
25.05.2021,T,60,,29.3,5.28,
21.05.2021,T,40,30.04,,3.6,
20.05.2021,T,45,29.066,,3.92,
14.05.2021,NEM,10,,70.78,2.21,
13.05.2021,T,,,,,5.46
04.05.2021,J&J,2,164.75,,0.99,
15.04.2021,T,20,29.8415,,1.8,
31.03.2021,NEM,10,60.36,,1.8,
15.03.2021,J&J,,,,,0.71
09.03.2021,T,15,30.1,,1.35,
12.02.2021,J&J,1,166.08,,0.5,